Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2,2013-01-01,2817,345,1,0,0,0
1,3,2013-01-02,5767,506,1,1,c,0
1,4,2013-01-03,4009,293,1,0,0,0
1,5,2013-01-04,5788,492,1,0,0,0
1,6,2013-01-05,6187,465,1,1,0,0
1,1,2013-01-07,4068,302,1,0,0,0
1,2,2013-01-08,4520,502,1,1,0,1
1,3,2013-01-09,4309,448,1,0,0,0
1,4,2013-01-10,3759,448,1,1,0,0
1,5,2013-01-11,7694,626,1,1,0,0
1,6,2013-01-12,6608,806,1,1,0,0
1,1,2013-01-14,5774,516,1,0,0,0
1,2,2013-01-15,5124,542,1,0,0,0
1,3,2013-01-16,4622,444,1,0,0,0
1,4,2013-01-17,7257,551,1,0,0,0
1,5,2013-01-18,5678,441,1,0,0,0
1,6,2013-01-19,6430,493,1,0,0,0
1,1,2013-01-21,3020,268,1,0,0,0
1,2,2013-01-22,5343,558,1,0,0,0
1,3,2013-01-23,5636,423,1,0,0,0
1,4,2013-01-24,6147,589,1,1,0,0
1,5,2013-01-25,5703,448,1,0,0,0
1,6,2013-01-26,4911,449,1,0,0,0
1,1,2013-01-28,4366,538,1,0,0,0
1,2,2013-01-29,6162,625,1,0,0,0
1,3,2013-01-30,6187,651,1,0,0,0
1,4,2013-01-31,5247,519,1,0,0,0
1,5,2013-02-01,6712,715,1,0,0,0
1,6,2013-02-02,4202,315,1,0,0,0
1,1,2013-02-04,5389,476,1,0,0,0
1,2,2013-02-05,4581,476,1,0,0,1
1,3,2013-02-06,4882,373,1,0,0,0
1,4,2013-02-07,4427,464,1,0,0,0
1,5,2013-02-08,8123,921,1,1,0,0
1,6,2013-02-09,4460,382,1,0,0,0
1,1,2013-02-11,4872,578,1,1,a,0
1,2,2013-02-12,5593,526,1,0,0,0
1,3,2013-02-13,5067,364,1,0,0,0
1,4,2013-02-14,3580,276,1,0,0,0
1,5,2013-02-15,6996,536,1,1,0,0
1,6,2013-02-16,6797,641,1,1,0,0
1,1,2013-02-18,5142,605,1,0,0,0
1,2,2013-02-19,5410,573,1,0,0,1
1,3,2013-02-20,7043,595,1,1,0,0
1,4,2013-02-21,4391,503,1,0,0,0
1,5,2013-02-22,6040,612,1,0,0,1
1,6,2013-02-23,6967,691,1,0,0,1
1,1,2013-02-25,6244,455,1,0,0,1
1,2,2013-02-26,5527,491,1,0,0,1
